title,artist,year,position,mood_tone,instrumentation,genre,lyrics
Heartbreak Hotel,Whitney Houston feat. Faith Evans and Kelly Price,1999,4,"emotional, dramatic, strong","duet vocals, dramatic build","R&B, soul","[Verse]
Checked in alone with tears to spare  
Another night, another stare  
The walls remember every fight  
The silence screams you’re not alright  

[Chorus]
Welcome to Heartbreak Hotel  
Where the pain and memories dwell  
Room for one with love gone wrong  
Stay the night, it won’t be long  

[Verse]
I called your name through static light  
But got no answer, just the night  
You vanished like a fleeting song  
Left me wondering all along  

[Bridge]
Down these halls, we fade, we cry  
No one asks the reason why  

[Outro]
Heartbreak Hotel, where I lay  
Till your ghost fades away"
...Baby One More Time,Britney Spears,1999,5,"intense, teenage, vulnerable","pop beat, punchy vocals",teen pop,"[Verse]
Loneliness is haunting me  
And now I feel the need to plead  
You were the spark that lit my flame  
Now silence echoes out your name  

[Chorus]
Hit me baby one more time  
Say you’re mine and draw the line  
Between the doubt and what we were  
Just bring me back with one sweet word  

[Verse]
The days are slow, the nights too deep  
You’re the dream I can’t keep  
I lost my way when you let go  
But still your name is all I know  

[Bridge]
My heart’s still caught in our old rhyme  
Craving just one final sign  

[Outro]
Baby, call me back again  
Let me feel your love begin"
Breathe,Faith Hill,2000,1,"romantic, soaring, heartfelt","country-pop backing, female vocals",country pop,"[Verse]
I've been holding it inside  
Hiding feelings that collide  
But now it's time to let it go  
Let the truth begin to show  

[Chorus]
Just breathe, let it in  
Feel the air beneath your skin  
No more running, no disguise  
Only truth behind these eyes  

[Verse]
The world spins fast, we lose our place  
But peace can come with just one grace  
Slow it down, be here, be still  
Let your soul bend to your will  

[Bridge]
You don't need to know the end  
Only breathe, my love, again  

[Outro]
Breathe with me, don’t pretend  
This is where the healing begins"
Smooth,Santana feat. Rob Thomas,2000,2,"sensual, Latin-infused, passionate","Latin guitar, rock vocals","Latin rock, pop","[Verse]
Your touch is like a summer flame  
Whispers heat, but plays no game  
You're a rhythm in my veins  
Spinning love like warm champagne  

[Chorus]
You’re so smooth, it’s unreal  
Every move’s a way to feel  
Got me melting in your sound  
With no way to slow me down  

[Verse]
Your body’s jazz, your lips are soul  
Every glance is full control  
I’m dancing under your command  
Like waves obeying land  

[Bridge]
You play me like a tune so sweet  
Got me swaying in the heat  

[Outro]
You're smooth, and I’m your song  
Together we can’t go wrong"
Maria Maria,Santana feat. The Product G&B,2000,3,"groovy, relaxed, smooth","Latin beats, R&B vocals",Latin R&B,"[Intro]  
Maria Maria  
She moves like the wind through the night  

[Verse]  
In the heat of the summer she walks with grace  
Eyes full of fire and a softer face  
The rhythm of the streets in every step  
She knows the world, and no regret  

[Chorus]  
Maria Maria, dancing in the rain  
Loving through the struggle, smiling through the pain  
She’s got a soul like a Spanish song  
A melody where hearts belong  

[Verse]  
Raised on stories and dusty roads  
She sings with a voice nobody owns  
Every word she says is true  
Born of struggle, born of view  

[Bridge]  
She don’t need no crown or stage  
Her beauty’s carved from silent rage  

[Outro]  
Maria Maria  
You’ve got the whole world in your name"
I Wanna Know,Joe,2000,4,"yearning, romantic, emotional","R&B slow jam style, male vocals",R&B,"[Verse]
What makes you smile when you’re alone?  
What breaks your heart you’ve never shown?  
Tell me all you try to hide  
Let me love what’s deep inside  

[Chorus]
I wanna know what moves your soul  
What fills the space and makes you whole  
I wanna be the one you trust  
The voice you hear when days are rough  

[Verse]
Do you cry when no one sees?  
Do you fall down to your knees?  
I’m not afraid to hear your pain  
I’ll stay through sunshine and the rain  

[Bridge]
You don’t need to stand alone  
Let me make your heart my home  

[Outro]
I wanna know and I won’t leave  
Just speak your truth and I’ll believe"
Everything You Want,Vertical Horizon,2000,5,"reflective, melodic, driven","rock band instrumentation, male vocals","alt-rock, pop rock","[Verse]
He’s got the words you wanna hear  
But not the heart to keep you near  
He makes you laugh, but not for long  
You’re still searching for where you belong  

[Chorus]
I’m everything you want  
The truth you never caught  
While he’s playing make-believe  
I’m the one who’ll never leave  

[Verse]
You chase a dream that fades to grey  
But I’ve been here every day  
Watching you fall through his disguise  
When I could love you without lies  

[Bridge]
Open your eyes, don’t look too far  
The one you need is where you are  

[Outro]
I’m everything you want to feel  
The only love that’s real"
Hanging By A Moment,Lifehouse,2001,1,"yearning, heartfelt, alternative","electric guitar, melodic vocals, rock drums","alternative rock, pop rock","[Verse]
Desperate eyes are scanning the sky  
I’m chasing the reasons I feel so alive  
Tumbling fast with no way to land  
Gripping tight with a trembling hand  

[Chorus]
I’m hanging by a moment with you  
Caught in the breath between the truth  
No more questions, nothing left to prove  
I’m hanging by a moment, by a moment with you  

[Verse]
The wind is screaming but I hear your name  
The world keeps moving but I remain  
Right here where the silence grows  
You’re the only thing I’ve ever known  

[Bridge]
I don’t need tomorrow if tonight is enough  
Falling into pieces, falling into love  

[Chorus]
I’m hanging by a moment with you  
Caught in the breath between the truth  
No more questions, nothing left to prove  
I’m hanging by a moment, by a moment with you  

[Outro]
Just a moment, just with you"
Fallin',Alicia Keys,2001,2,"soulful, vulnerable, romantic","piano, soulful female vocals","R&B, soul","[Verse]
I thought I knew what love was like  
But now it spins me every night  
You hold me close, then walk away  
Yet I come back, I always stay  

[Chorus]
I keep fallin', deeper in  
Every time I think we’ve reached the end  
You pull me back like nothin’ changed  
And I fall, fall again  

[Verse]
You’re a fire I can’t contain  
A sudden joy, a constant rain  
I hate to love, I love the pain  
Still I fall, again and again  

[Bridge]
Can’t escape the way you feel  
Can’t deny what’s always real  

[Chorus]
I keep fallin', deeper in  
Every time I think we’ve reached the end  
You pull me back like nothin’ changed  
And I fall, fall again  

[Outro]
I fall again"
All For You,Janet Jackson,2001,3,"fun, upbeat, summery","dance-pop beat, synths, female vocals","dance-pop, R&B","[Intro]
Yeah, come on  
It’s all for you, baby  

[Verse]
I see you looking, don’t be shy  
This groove’s electric, don’t ask why  
We’re movin’ through the neon light  
Let’s dance until we lose the night  

[Chorus]
It’s all for you, every step and every move  
Got nothin’ to lose, I’m feelin’ the groove  
You’re all I see, just me and you  
Tonight it’s all, all for you  

[Verse]
Drop the past, let’s raise the heat  
You’re the reason for this beat  
Take my hand, don’t be afraid  
I’m your rhythm, you’re my shade  

[Bridge]
No one else is in this room  
Let the night erase the rules  

[Chorus]
It’s all for you, every step and every move  
Got nothin’ to lose, I’m feelin’ the groove  
You’re all I see, just me and you  
Tonight it’s all, all for you  

[Outro]
Yeah, just for you"
Drops of Jupiter (Tell Me),Train,2001,4,"emotional, epic, introspective","piano, strings, rock arrangement","rock, adult contemporary","[Verse]
She’s back again with stardust eyes  
Walks like thunder through my skies  
She’s got that look that speaks of space  
As if she’s seen another place  

[Chorus]
Did you fly beyond the clouds?  
Did you chase the comets down?  
Did you find the reason why?  
And did you miss me in the sky?  

[Verse]
She tastes like rain and sounds like dreams  
Tells me stories ripped at seams  
She’s been where maps just lose their way  
But somehow she still finds today  

[Bridge]
And I’ve been waiting here below  
For signs that only you would know  

[Chorus]
Did you fly beyond the clouds?  
Did you chase the comets down?  
Did you find the reason why?  
And did you miss me in the sky?  

[Outro]
Now that you’re back, stay awhile"
I'm Real (Murder Remix),Jennifer Lopez feat. Ja Rule,2001,5,"gritty, urban, catchy","hip hop beat, duet vocals","hip hop, R&B","[Intro]
Yeah, baby, it’s real  
Uh-huh, J to the L-O, R-U-L-E  

[Verse]
You see me walkin’ through the light  
No disguise, I’m what’s right  
Got no secrets, got no lies  
I’m the truth in all your nights  

[Chorus]
I’m real, I don’t play pretend  
What you see is what I send  
Keep it solid, thick and true  
Boy, you know I ride for you  

[Verse]
From the block and still I shine  
Chasin’ dreams and keepin’ mine  
Loyal heart and heavy style  
Watch me rise and make you smile  

[Bridge]
We’re the fire, never fake  
This is love, no heartbreak  

[Chorus]
I’m real, I don’t play pretend  
What you see is what I send  
Keep it solid, thick and true  
Boy, you know I ride for you  

[Outro]
I’m real, so real, and I do it all for you"
How You Remind Me,Nickelback,2002,1,"angsty, emotional, raw","distorted guitar, gravelly vocals","post-grunge, rock","[Verse]
I wake up chasing words I never said  
Your voice still echoes in my head  
You were the spark, I was the flame  
Now only ashes know my name  

[Chorus]
This is how you remind me  
Of the man I swore I’d never be  
It’s not your fault, it’s not just mine  
We lost ourselves somewhere in time  

[Verse]
You said forever, I said soon  
We built our love beneath the moon  
Now all the nights feel cold and wide  
I still hear you on the other side  

[Bridge]
If I could take it back, I would  
But I’m not sure it’d do us good  

[Chorus]
This is how you remind me  
Of the man I swore I’d never be  
It’s not your fault, it’s not just mine  
We lost ourselves somewhere in time  

[Outro]
You remind me"
